"DeptCodeDW","Province","2010-11","2011-12","2010-11","2011-12","2012-13"
"EA","PE",3,3,3,3,3
"EA","NL",22,20,22,20,17
"EA","Abroad",1102,1078,1102,1078,1044
"EC","NU",20,22,20,22,21
"EC","NT",73,63,73,63,62
"EC","YT",37,35,37,35,36
"EC","BC",541,543,541,543,493
"EC","AB",401,383,401,383,359
"EC","SK",183,176,183,176,169
"EC","MB",149,142,149,142,133
"EC","NCR ON",515,491,515,491,438
"EC","NCR QC",2375,2222,2375,2222,2187
"EC","ON (minus NCR)",1404,1300,1404,1300,1243
"EC","QC (minus NCR)",947,899,947,899,813
"EC","NB",136,124,136,124,124
"EC","NS",301,284,301,284,256
"EC","PE",1,2,1,2,2
"EC","NL",75,75,75,75,71
"EC","Abroad",2,1,2,1,1
"ERC","NU",0,0,0,0,0
"ERC","NT",0,0,0,0,0
"ERC","YT",0,0,0,0,0
"ERC","BC",0,0,0,0,0
"ERC","AB",0,0,0,0,0
"ERC","SK",0,0,0,0,0
"ERC","MB",0,0,0,0,0
"ERC","NCR ON",4,3,4,3,6
"ERC","NCR QC",0,0,0,0,0
"ERC","ON (minus NCR)",0,0,0,0,0
"ERC","QC (minus NCR)",0,0,0,0,0
"ERC","NB",0,0,0,0,0
"ERC","NS",0,0,0,0,0
"ERC","PE",0,0,0,0,0
"ERC","NL",0,0,0,0,0
"ERC","Abroad",0,0,0,0,0
"FCAC","NU",0,0,0,0,0
"FCAC","NT",0,0,0,0,0
"FCAC","YT",0,0,0,0,0
"FCAC","BC",0,0,0,0,0
"FCAC","AB",0,0,0,0,0
"FCAC","SK",0,0,0,0,0
"FCAC","MB",0,0,0,0,0
"FCAC","NCR ON",61,68,61,68,73
"FCAC","NCR QC",0,0,0,0,0
"FCAC","ON (minus NCR)",0,0,0,0,0
"FCAC","QC (minus NCR)",0,0,0,0,0
"FCAC","NB",0,0,0,0,0
"FCAC","NS",0,0,0,0,0
"FCAC","PE",0,0,0,0,0
"FCAC","NL",0,0,0,0,0
"FCAC","Abroad",0,0,0,0,0
"FEDSO","NU",0,0,0,0,0
"FEDSO","NT",0,0,0,0,0
"FEDSO","YT",0,0,0,0,0
"FEDSO","BC",0,0,0,0,0
"FEDSO","AB",0,0,0,0,0
"FEDSO","SK",0,0,0,0,0
"FEDSO","MB",0,0,0,0,0
"FEDSO","NCR ON",28,29,28,29,28
"FEDSO","NCR QC",0,0,0,0,0
"FEDSO","ON (minus NCR)",181,196,181,196,190
"FEDSO","QC (minus NCR)",0,0,0,0,0
"FEDSO","NB",0,0,0,0,0
"FEDSO","NS",0,0,0,0,0
"FEDSO","PE",0,0,0,0,0
"FEDSO","NL",0,0,0,0,0
"FEDSO","Abroad",0,0,0,0,0
"FIN","NU",0,0,0,0,0
"FIN","NT",0,0,0,0,0
"FIN","YT",0,0,0,0,0
"FIN","BC",0,0,0,0,0
"FIN","AB",0,0,0,0,0
"FIN","SK",0,0,0,0,0
"FIN","MB",0,0,0,0,0
"FIN","NCR ON",805,781,805,781,756
"FIN","NCR QC",0,0,0,0,0
"FIN","ON (minus NCR)",0,0,0,0,0
"FIN","QC (minus NCR)",0,0,0,0,0
"FIN","NB",0,0,0,0,0
"FIN","NS",0,0,0,0,0
"FIN","PE",0,0,0,0,0
"FIN","NL",0,0,0,0,0
"FIN","Abroad",0,0,0,0,0
"FJA","NU",4,6,4,6,6
"FJA","NT",4,5,4,5,4
"FJA","YT",2,2,2,2,2
"FJA","BC",130,127,130,127,126
"FJA","AB",96,96,96,96,95
"FJA","SK",50,50,50,50,46
"FJA","MB",54,53,54,53,51
"FJA","NCR ON",165,159,165,159,161
"FJA","NCR QC",7,7,7,7,7
"FJA","ON (minus NCR)",317,312,317,312,316
"FJA","QC (minus NCR)",210,208,210,208,211
"FJA","NB",42,41,42,41,39
"FJA","NS",51,51,51,51,49
"FJA","PE",9,9,9,9,9
"FJA","NL",35,35,35,35,36
"FJA","Abroad",0,0,0,0,0
"FO","NU",23,21,23,21,23
"FO","NT",60,53,60,53,47
"FO","YT",36,36,36,36,34
"FO","BC",2546,2532,2546,2532,2384
"FO","AB",43,41,43,41,17
"FO","SK",21,19,21,19,3
"FO","MB",248,241,248,241,237
"FO","NCR ON",1571,1568,1571,1568,1514
"FO","NCR QC",1,0,1,0,0
"FO","ON (minus NCR)",831,822,831,822,788
"FO","QC (minus NCR)",1383,1431,1383,1431,1290
"FO","NB",658,637,658,637,592
"FO","NS",1855,1786,1855,1786,1665
"FO","PE",113,111,113,111,111
"FO","NL",1615,1625,1615,1625,1585
"FO","Abroad",0,0,0,0,4
"FORDQ","NU",0,0,0,0,0
"FORDQ","NT",0,0,0,0,0
"FORDQ","YT",0,0,0,0,0
"FORDQ","BC",0,0,0,0,0
"FORDQ","AB",0,0,0,0,0
"FORDQ","SK",0,0,0,0,0
"FORDQ","MB",0,0,0,0,0
"FORDQ","NCR ON",0,0,0,0,0
"FORDQ","NCR QC",25,23,25,23,16
"FORDQ","ON (minus NCR)",0,0,0,0,0
"FORDQ","QC (minus NCR)",431,378,431,378,323
"FORDQ","NB",0,0,0,0,0
"FORDQ","NS",0,0,0,0,0
"FORDQ","PE",0,0,0,0,0
"FORDQ","NL",0,0,0,0,0
"FORDQ","Abroad",0,0,0,0,0
"FPCC","NU",0,0,0,0,0
"FPCC","NT",0,0,0,0,0
"FPCC","YT",0,0,0,0,0
"FPCC","BC",0,0,0,0,0
"FPCC","AB",0,0,0,0,0
"FPCC","SK",0,0,0,0,0
"FPCC","MB",0,0,0,0,0
"FPCC","NCR ON",16,16,16,16,16
"FPCC","NCR QC",0,0,0,0,0
"FPCC","ON (minus NCR)",0,0,0,0,0
